geo_longitude,geo_latitude,Unique_ID,Name,City,Neighborhood,Multi_System,System,System_Code,Multi_Line,Lines,Service,Limited_Service,Service_Frequency,Terminus,Connections,Handicap_Accessible,Status,Year_Opened,Web_Link,Name_Link_HTML
-75.452288,39.797671,3801,Claymont,"Claymont, DE",,FALSE,SEPTA Regional Rail,MA13,FALSE,Wilmington / Newark Line (SEPTA Regional Rail),,FALSE,Moderate (<35),FALSE,None,TRUE,Built,1991,https://en.wikipedia.org/wiki/Claymont_station,"<a href=""https://en.wikipedia.org/wiki/Claymont_station"" target=""_blank"">Claymont</a>"
-75.551139,39.73678,3802,Wilmington,"Wilmington, DE",,TRUE,"SEPTA Regional Rail, Amtrak","MA13, SA01",TRUE,Wilmington / Newark Line (SEPTA Regional Rail),,Wilmington / Newark Line - False,Wilmington / Newark Line - Moderate (<35),TRUE,None,TRUE,Built,1908,https://en.wikipedia.org/wiki/Wilmington_station_(Delaware),"<a href=""https://en.wikipedia.org/wiki/Wilmington_station_(Delaware)"" target=""_blank"">Wilmington</a>"
-75.672807,39.694565,3803,Churchmans Crossing,"Newark, DE",,FALSE,SEPTA Regional Rail,MA13,FALSE,Wilmington / Newark Line (SEPTA Regional Rail),,FALSE,Light (<15),FALSE,None,TRUE,Built,2000,https://en.wikipedia.org/wiki/Churchmans_Crossing_station,"<a href=""https://en.wikipedia.org/wiki/Churchmans_Crossing_station"" target=""_blank"">Churchmans Crossing</a>"
-75.753713,39.669725,3804,Newark,"Newark, DE",,TRUE,SEPTA Regional Rail,"MA13, SA01",TRUE,Wilmington / Newark Line (SEPTA Regional Rail),,Wilmington / Newark Line - False,Wilmington / Newark Line - Light (<15),TRUE,None,TRUE,Built,1877,https://en.wikipedia.org/wiki/Newark_station_(Delaware),"<a href=""https://en.wikipedia.org/wiki/Newark_station_(Delaware)"" target=""_blank"">Newark</a>"
-76.779847,39.407369,3811,Owings Mills,"Owings Mills, MD",,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),TRUE,None,TRUE,Built,1987,https://en.wikipedia.org/wiki/Owings_Mills_station,"<a href=""https://en.wikipedia.org/wiki/Owings_Mills_station"" target=""_blank"">Owings Mills</a>"
-76.744121,39.371278,3812,Old Court,"Lochearn, MD",,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1987,https://en.wikipedia.org/wiki/Old_Court_station,"<a href=""https://en.wikipedia.org/wiki/Old_Court_station"" target=""_blank"">Old Court</a>"
-76.720591,39.359653,3813,Millford Mill,"Lochearn, MD",,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1987,https://en.wikipedia.org/wiki/Milford_Mill_station,"<a href=""https://en.wikipedia.org/wiki/Milford_Mill_station"" target=""_blank"">Millford Mill</a>"
-76.704637,39.351896,3814,Reisterstown Plaza,"Baltimore, MD",,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1983,https://en.wikipedia.org/wiki/Reisterstown_Plaza_station,"<a href=""https://en.wikipedia.org/wiki/Reisterstown_Plaza_station"" target=""_blank"">Reisterstown Plaza</a>"
-76.691508,39.344621,3815,Rogers Avenue,"Baltimore, MD",Arlington,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1983,https://en.wikipedia.org/wiki/Rogers_Avenue_station,"<a href=""https://en.wikipedia.org/wiki/Rogers_Avenue_station"" target=""_blank"">Rogers Avenue</a>"
-76.672342,39.336248,3816,West Cold Spring,"Baltimore, MD",Arlington,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1983,https://en.wikipedia.org/wiki/West_Cold_Spring_station,"<a href=""https://en.wikipedia.org/wiki/West_Cold_Spring_station"" target=""_blank"">West Cold Spring</a>"
