geo_longitude,geo_latitude,Unique ID,Name,City,Neighborhood,Multi-System,System,Multi-Line,Lines,Service,Limited Service,Service Frequency,Terminus,Connections,Handicap Accessible,Status,Year Opened,Web Link,Web Link (HTML)
-71.083605,42.34148,1132,Massachusetts Avenue,"Boston, MA",Fenway-Kenmore,FALSE,MBTA Subway,FALSE,Orange Line (MBTA Subway),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1987,,"<a href="""">Station Link</a>"
-71.08937,42.336726,1133,Ruggles,"Boston, MA",Roxbury Crossing,TRUE,"MBTA Commuter Rail, MBTA Subway",TRUE,"Franklin Line (MBTA Commuter Rail), Needham Line (MBTA Commuter Rail), Providence/Stoughton Line (MBTA Commuter Rail), Orange Line (MBTA Subway)","Providence Branch (Providence/Stoughton Line), Stoughton Branch (Providence/Stoughton Line)","Franklin Line - False, Needham Line - False, Providence/Stoughton Line (Providence Branch) - True, Providence/Stoughton Line (Stoughton Branch) - True, Orange Line - FALSE","Franklin Line - Light (<15), Needham Line - Light (<15), Providence/Stoughton Line (Providence Branch) - Light (<15), Providence/Stoughton Line (Stoughton Branch) - Light (<15), Orange Line - Constant (>70)",FALSE,None,TRUE,Built,1987,,"<a href="""">Station Link</a>"
-71.095641,42.331266,1134,Roxbury Crossing,"Boston, MA",Roxbury Crossing,FALSE,MBTA Subway,FALSE,Orange Line (MBTA Subway),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1987,,"<a href="""">Station Link</a>"
-71.100308,42.322596,1135,Jackson Square,"Boston, MA",Jamaica Plain,FALSE,MBTA Subway,FALSE,Orange Line (MBTA Subway),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1987,,"<a href="""">Station Link</a>"
-71.104468,42.317223,1136,Stony Brook,"Boston, MA",Jamaica Plain,FALSE,MBTA Subway,FALSE,Orange Line (MBTA Subway),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1987,,"<a href="""">Station Link</a>"
-71.107647,42.310474,1137,Green Street,"Boston, MA",Jamaica Plain,FALSE,MBTA Subway,FALSE,Orange Line (MBTA Subway),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1987,,"<a href="""">Station Link</a>"
-71.114189,42.300642,1138,Forest Hills,"Boston, MA",Jamaica Plain,TRUE,"MBTA Commuter Rail, MBTA Subway",FALSE,"Needham Line (MBTA Commuter Rail), Orange Line (MBTA Subway)",,"Needham Line - False, Orange Line - False","Needham Line - Light (<15), Orange Line - Constant (>70)",TRUE,None,TRUE,Built,1987,,"<a href="""">Station Link</a>"
-71.077224,42.371068,1139,Lechmere,"Cambridge, MA",Lechmere Square,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),E (Green Line),FALSE,Constant (>70),TRUE,None,TRUE,Built,1922,,"<a href="""">Station Link</a>"
-71.067645,42.36664,1140,Science Park,"Boston, MA",West End,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),E (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1955,,"<a href="""">Station Link</a>"
-71.064679,42.352773,1141,Boylston,"Boston, MA",Downtown,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),"B (Green Line), C (Green Line), D (Green Line), E (Green Line)","Green Line (B) - False, Green Line (C) - False, Green Line (D) - False, Green Line (E) - False","Green Line (B) - Constant (>70), Green Line (C) - Constant (>70), Green Line (D) - Constant (>70), Green Line (E) - Constant (>70)",FALSE,None,FALSE,Built,1897,,"<a href="""">Station Link</a>"
-71.07093,42.351816,1142,Arlington,"Boston, MA",Back Bay,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),"B (Green Line), C (Green Line), D (Green Line), E (Green Line)","Green Line (B) - False, Green Line (C) - False, Green Line (D) - False, Green Line (E) - False","Green Line (B) - Constant (>70), Green Line (C) - Constant (>70), Green Line (D) - Constant (>70), Green Line (E) - Constant (>70)",FALSE,None,TRUE,Built,1921,,"<a href="""">Station Link</a>"
-71.077511,42.350025,1143,Copley,"Boston, MA",Back Bay,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),"B (Green Line), C (Green Line), D (Green Line), E (Green Line)","Green Line (B) - False, Green Line (C) - False, Green Line (D) - False, Green Line (E) - False","Green Line (B) - Constant (>70), Green Line (C) - Constant (>70), Green Line (D) - Constant (>70), Green Line (E) - Constant (>70)",FALSE,None,TRUE,Built,1914,,"<a href="""">Station Link</a>"
-71.087981,42.348042,1144,Hynes Convention Center,"Boston, MA",Back Bay,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),"B (Green Line), C (Green Line), D (Green Line)","Green Line (B) - False, Green Line (C) - False, Green Line (D) - False","Green Line (B) - Constant (>70), Green Line (C) - Constant (>70), Green Line (D) - Constant (>70)",FALSE,None,FALSE,Built,1914,,"<a href="""">Station Link</a>"
-71.096052,42.348925,1145,Kenmore,"Boston, MA",Fenway-Kenmore,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),"B (Green Line), C (Green Line), D (Green Line)","Green Line (B) - False, Green Line (C) - False, Green Line (D) - False","Green Line (B) - Constant (>70), Green Line (C) - Constant (>70), Green Line (D) - Constant (>70)",FALSE,None,TRUE,Built,1932,,"<a href="""">Station Link</a>"
-71.100058,42.349224,1146,Blandford Street,"Boston, MA",Fenway-Kenmore,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1896,,"<a href="""">Station Link</a>"
-71.104297,42.349735,1147,Boston University East,"Boston, MA",Fenway-Kenmore,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1894,,"<a href="""">Station Link</a>"
-71.107221,42.350087,1148,Boston University Central,"Boston, MA",Fenway-Kenmore,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,TRUE,Built,1894,,"<a href="""">Station Link</a>"
-71.1134,42.350832,1149,Boston University West,"Boston, MA",Fenway-Kenmore,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
-71.116276,42.351178,1150,St. Paul Street,"Boston, MA",Fenway-Kenmore,FALSE,MBTA Subway,FALSE,Green Line (MBTA Subway),B (Green Line),FALSE,Constant (>70),FALSE,None,FALSE,Built,,,"<a href="""">Station Link</a>"
