geo_longitude,geo_latitude,Unique_ID,Name,City,Neighborhood,Multi_System,System,System_Code,Multi_Line,Lines,Service,Limited_Service,Service_Frequency,Terminus,Connections,Handicap_Accessible,Status,Year_Opened,Web_Link,Name_Link_HTML
-76.886346,38.952203,3924,Glenridge (Planned),"Landover Hills, MD",,FALSE,Purple Line,SA05,FALSE,Purple Line,,,,FALSE,None,,Under Construction,,,Glenridge (Planned)
-76.872046,38.949366,3925,New Carrollton Metro (Planned),"New Carrollton, MD",,FALSE,Purple Line,SA05,FALSE,Purple Line,,,,FALSE,"New Carrollton (Washington Metro, MARC, Amtrak)",,Under Construction,,https://en.wikipedia.org/wiki/New_Carrollton_station,"<a href=""https://en.wikipedia.org/wiki/New_Carrollton_station"" target=""_blank"">New Carrollton Metro (Planned)</a>"
-77.005175,38.900219,3936,H St and Union Station,"Washington, DC",,FALSE,DC Streetcar,SA06,FALSE,H Street / Benning Road (DC Streetcar),,FALSE,Constant (>70),TRUE,None,TRUE,Built,2016,https://en.wikipedia.org/wiki/Union_Station_(DC_Streetcar),"<a href=""https://en.wikipedia.org/wiki/Union_Station_(DC_Streetcar)"" target=""_blank"">H St and Union Station</a>"
-77.001384,38.900194,3937,H St and 3rd St NE,"Washington, DC",,FALSE,DC Streetcar,SA06,FALSE,H Street / Benning Road (DC Streetcar),,FALSE,Constant (>70),FALSE,None,TRUE,Built,2016,https://en.wikipedia.org/wiki/3rd_Street_station_(DC_Streetcar),"<a href=""https://en.wikipedia.org/wiki/3rd_Street_station_(DC_Streetcar)"" target=""_blank"">H St and 3rd St NE</a>"
-76.998853,38.900194,3938,H St and 5th St NE,"Washington, DC",,FALSE,DC Streetcar,SA06,FALSE,H Street / Benning Road (DC Streetcar),,FALSE,Constant (>70),FALSE,None,TRUE,Built,2016,https://en.wikipedia.org/wiki/5th_Street_station_(DC_Streetcar),"<a href=""https://en.wikipedia.org/wiki/5th_Street_station_(DC_Streetcar)"" target=""_blank"">H St and 5th St NE</a>"
-76.994919,38.900194,3939,H St and 8th St NE,"Washington, DC",,FALSE,DC Streetcar,SA06,FALSE,H Street / Benning Road (DC Streetcar),,FALSE,Constant (>70),FALSE,None,TRUE,Built,2016,https://en.wikipedia.org/wiki/8th_Street_station_(DC_Streetcar),"<a href=""https://en.wikipedia.org/wiki/8th_Street_station_(DC_Streetcar)"" target=""_blank"">H St and 8th St NE</a>"
-76.988324,38.900194,3940,H St and 13th St NE,"Washington, DC",,FALSE,DC Streetcar,SA06,FALSE,H Street / Benning Road (DC Streetcar),,FALSE,Constant (>70),FALSE,None,TRUE,Built,2016,https://en.wikipedia.org/wiki/13th_Street_station_(DC_Streetcar),"<a href=""https://en.wikipedia.org/wiki/13th_Street_station_(DC_Streetcar)"" target=""_blank"">H St and 13th St NE</a>"
-76.983016,38.900098,3941,Benning Rd and 15th St NE,"Washington, DC",,FALSE,DC Streetcar,SA06,FALSE,H Street / Benning Road (DC Streetcar),,FALSE,Constant (>70),FALSE,None,TRUE,Built,2016,https://en.wikipedia.org/wiki/15th_Street_station_(DC_Streetcar),"<a href=""https://en.wikipedia.org/wiki/15th_Street_station_(DC_Streetcar)"" target=""_blank"">Benning Rd and 15th St NE</a>"
-76.976045,38.898881,3942,Benning Rd and 19th St NE,"Washington, DC",,FALSE,DC Streetcar,SA06,FALSE,H Street / Benning Road (DC Streetcar),,FALSE,Constant (>70),FALSE,None,TRUE,Built,2016,https://en.wikipedia.org/wiki/19th_Street_station_(DC_Streetcar),"<a href=""https://en.wikipedia.org/wiki/19th_Street_station_(DC_Streetcar)"" target=""_blank"">Benning Rd and 19th St NE</a>"
-76.969732,38.897781,3943,Benning Rd and Oklahoma Ave NE,"Washington, DC",,FALSE,DC Streetcar,SA06,FALSE,H Street / Benning Road (DC Streetcar),,FALSE,Constant (>70),TRUE,None,TRUE,Built,2016,https://en.wikipedia.org/wiki/Oklahoma_Avenue_station,"<a href=""https://en.wikipedia.org/wiki/Oklahoma_Avenue_station"" target=""_blank"">Benning Rd and Oklahoma Ave NE</a>"
-77.005861,38.898511,3971,Washington Union Station,"Washington, DC",,TRUE,"MARC Train, Virginia Railway Express (VRE), Amtrak","SA01, SA07, SA08",TRUE,"Brunswick Line (MARC Train), Camden Line (MARC Train), Penn Line (MARC Train), Vermonter (Amtrak), Acela Express (Amtrak), Northeast Regional (Amtrak), Cardinal (Amtrak), Crescent (Amtrak), Carolinian (Amtrak), Palmetto (Amtrak), Silver Star (Amtrak), Silver Meteor (Amtrak), Fredericksburg Line (VRE), Manassas Line (VRE), Capitol Limited (Amtrak)","Main Line (Brunswick Line), Frederick Branch (Brunswick Line), Roanoke Service (Northeast Regional), Newport News Service (Northeast Regional), Norfolk Service (Northeast Regional)","Brunswick Line - False, Camden Line - False, Penn Line - False, Vermonter - True, Acela Express - False, Northeast Regional - False, Cardinal - True, Crescent - True, Carolinian - True, Palmetto - True, Silver Star - True, Silver Meteor - True, Fredericksburg Line - False, Manassas Line - False, Capitorl Limited - True","Brunswick Line - Light (<15), Camden Line - Light (<15), Penn Line - Moderate (<35), Vermonter - Minimal (<5), Acela Express - Light (<15), Northeast Regional - Light (<15), Cardinal - Minimal (<5), Crescent - Minimal (<5), Carolinian - Minimal (<5), Palmetto - Minimal (<5), Silver Star - Minimal (<5), Silver Meteor - Minimal (<5), Fredericksburg Line - Light (<15), Manassas Line - Light (<15), Capitol Limited - Minimal (<5)",TRUE,Union Station (Washington Metro),TRUE,Built,1908,https://en.wikipedia.org/wiki/Washington_Union_Station,"<a href=""https://en.wikipedia.org/wiki/Washington_Union_Station"" target=""_blank"">Washington Union Station</a>"
-77.071743,39.026882,3972,Kensington,"Kensington, MD",,FALSE,MARC Train,SA07,FALSE,Brunswick Line (MARC Train),"Main Line, Frederick Branch",FALSE,Light (<15),FALSE,None,FALSE,Built,1891,https://en.wikipedia.org/wiki/Kensington_station_(Maryland),"<a href=""https://en.wikipedia.org/wiki/Kensington_station_(Maryland)"" target=""_blank"">Kensington</a>"
-77.09343,39.038863,3973,Garrett Park,"Garrett Park, MD",,FALSE,MARC Train,SA07,FALSE,Brunswick Line (MARC Train),"Main Line, Frederick Branch",FALSE,Light (<15),FALSE,None,FALSE,Built,,https://en.wikipedia.org/wiki/Garrett_Park_station,"<a href=""https://en.wikipedia.org/wiki/Garrett_Park_station"" target=""_blank"">Garrett Park</a>"
-77.177746,39.136441,3974,Washington Grove,"Washington Grove, MD",,FALSE,MARC Train,SA07,FALSE,Brunswick Line (MARC Train),"Main Line, Frederick Branch",FALSE,Light (<15),FALSE,None,FALSE,Built,,https://en.wikipedia.org/wiki/Washington_Grove_station,"<a href=""https://en.wikipedia.org/wiki/Washington_Grove_station"" target=""_blank"">Washington Grove</a>"
-77.192527,39.141437,3975,Gaithersburg,"Gaithersburg, MD",,FALSE,MARC Train,SA07,FALSE,Brunswick Line (MARC Train),"Main Line, Frederick Branch",FALSE,Light (<15),FALSE,None,TRUE,Built,1884,https://en.wikipedia.org/wiki/Gaithersburg_station,"<a href=""https://en.wikipedia.org/wiki/Gaithersburg_station"" target=""_blank"">Gaithersburg</a>"
-77.226724,39.149708,3976,Metropolitan Grove,"Gaithersburg, MD",,FALSE,MARC Train,SA07,FALSE,Brunswick Line (MARC Train),"Main Line, Frederick Branch",FALSE,Light (<15),FALSE,None,FALSE,Built,1987,https://en.wikipedia.org/wiki/Metropolitan_Grove_station,"<a href=""https://en.wikipedia.org/wiki/Metropolitan_Grove_station"" target=""_blank"">Metropolitan Grove</a>"
-77.270912,39.173341,3977,Germantown,"Germantown, MD",,FALSE,MARC Train,SA07,FALSE,Brunswick Line (MARC Train),"Main Line, Frederick Branch",FALSE,Light (<15),FALSE,None,FALSE,Built,1978,https://en.wikipedia.org/wiki/Germantown_station_(MARC),"<a href=""https://en.wikipedia.org/wiki/Germantown_station_(MARC)"" target=""_blank"">Germantown</a>"
-77.314332,39.18431,3978,Boyds,"Boyds, MD",,FALSE,MARC Train,SA07,FALSE,Brunswick Line (MARC Train),"Main Line, Frederick Branch",FALSE,Light (<15),FALSE,None,FALSE,Built,,https://en.wikipedia.org/wiki/Boyds_station,"<a href=""https://en.wikipedia.org/wiki/Boyds_station"" target=""_blank"">Boyds</a>"
-77.382666,39.209772,3979,Barnesville,"Barnesville, MD",,FALSE,MARC Train,SA07,FALSE,Brunswick Line (MARC Train),"Main Line, Frederick Branch",FALSE,Light (<15),FALSE,None,FALSE,Built,,https://en.wikipedia.org/wiki/Barnesville_station,"<a href=""https://en.wikipedia.org/wiki/Barnesville_station"" target=""_blank"">Barnesville</a>"
-77.422054,39.220027,3980,Dickerson,"Dickerson, MD",,FALSE,MARC Train,SA07,FALSE,Brunswick Line (MARC Train),"Main Line, Frederick Branch",FALSE,Minimal (<5),FALSE,None,FALSE,Built,1891,https://en.wikipedia.org/wiki/Dickerson_station,"<a href=""https://en.wikipedia.org/wiki/Dickerson_station"" target=""_blank"">Dickerson</a>"
-77.394462,39.382244,3981,Monocacy,"Frederick, MD",,FALSE,MARC Train,SA07,FALSE,Brunswick Line (MARC Train),Frederick Branch,FALSE,Minimal (<5),FALSE,None,TRUE,Built,2001,https://en.wikipedia.org/wiki/Monocacy_station,"<a href=""https://en.wikipedia.org/wiki/Monocacy_station"" target=""_blank"">Monocacy</a>"
-77.405367,39.41195,3982,Frederick,"Frederick, MD",,FALSE,MARC Train,SA07,FALSE,Brunswick Line (MARC Train),Frederick Branch,FALSE,Minimal (<5),TRUE,None,TRUE,Built,2001,https://en.wikipedia.org/wiki/Frederick_station,"<a href=""https://en.wikipedia.org/wiki/Frederick_station"" target=""_blank"">Frederick</a>"
-77.533336,39.273417,3983,Point of Rocks,"Point of Rocks, MD",,FALSE,MARC Train,SA07,FALSE,Brunswick Line (MARC Train),Main Line,FALSE,Light (<15),FALSE,None,TRUE,Built,1873,https://en.wikipedia.org/wiki/Point_of_Rocks_station,"<a href=""https://en.wikipedia.org/wiki/Point_of_Rocks_station"" target=""_blank"">Point of Rocks</a>"
-77.62746,39.312031,3984,Brunswick,"Brunswick, MD",,FALSE,MARC Train,SA07,FALSE,Brunswick Line (MARC Train),Main Line,FALSE,Light (<15),TRUE,None,FALSE,Built,1891,https://en.wikipedia.org/wiki/Brunswick_station_(Maryland),"<a href=""https://en.wikipedia.org/wiki/Brunswick_station_(Maryland)"" target=""_blank"">Brunswick</a>"
-77.731035,39.324627,3985,Harpers Ferry,"Harpers Ferry, WV",,TRUE,"MARC Train, Amtrak","SA01, SA07",FALSE,"Brunswick Line (MARC Train), Capitol Limited (Amtrak)",Main Line,"Brunswick Line - False, Capitol Limited - True","Brunswick Line - Minimal (<5), Capitol Limited - Minimal (<5)",FALSE,None,FALSE,Built,1889,https://en.wikipedia.org/wiki/Harpers_Ferry_station,"<a href=""https://en.wikipedia.org/wiki/Harpers_Ferry_station"" target=""_blank"">Harpers Ferry</a>"
-77.828157,39.362071,3986,Duffields,"Duffields, WV",,FALSE,MARC Train,SA07,FALSE,Brunswick Line (MARC Train),Main Line,FALSE,Minimal (<5),FALSE,None,FALSE,Built,,https://en.wikipedia.org/wiki/Duffields_station,"<a href=""https://en.wikipedia.org/wiki/Duffields_station"" target=""_blank"">Duffields</a>"
-77.960685,39.458693,3987,Martinsburg,"Martinsburg, WV",,TRUE,"MARC Train, Amtrak","SA01, SA07",FALSE,"Brunswick Line (MARC Train), Capitol Limited (Amtrak)",Main Line,"Brunswick Line - False, Capitol Limited - True","Brunswick Line - Minimal (<5), Capitol Limited - Minimal (<5)",TRUE,None,TRUE,Built,1848,https://en.wikipedia.org/wiki/Martinsburg_station,"<a href=""https://en.wikipedia.org/wiki/Martinsburg_station"" target=""_blank"">Martinsburg</a>"
-76.93513,38.962705,3988,Riverdale Park Town Center,"Riverdale Park, MD",,FALSE,MARC Train,SA07,FALSE,Camden Line (MARC Train),,FALSE,Light (<15),FALSE,None,FALSE,Built,,https://en.wikipedia.org/wiki/Riverdale_station_(MARC),"<a href=""https://en.wikipedia.org/wiki/Riverdale_station_(MARC)"" target=""_blank"">Riverdale Park Town Center</a>"
-76.88408,39.062865,3989,Muirkirk,"Beltsville, MD",,FALSE,MARC Train,SA07,FALSE,Camden Line (MARC Train),,FALSE,Light (<15),FALSE,None,TRUE,Built,1994,https://en.wikipedia.org/wiki/Muirkirk_station_(MARC),"<a href=""https://en.wikipedia.org/wiki/Muirkirk_station_(MARC)"" target=""_blank"">Muirkirk</a>"
